"LSOA11CD","index_of_multiple_deprivation_imd_decile","wkt"
"E01001380",7,"MULTIPOLYGON (((520201.7 179210.7, 520271 179100.2, 520336.3 179152.6, 520370.1 179080.7, 520312.5 179039.5, 520299.6 178989, 520369.2 178898.2, 520377.5 178888, 520460 178873, 520347 178838.2, 520350.8 178797.9, 520424 178744, 520362.3 178644.8, 520363.5 178642, 520198.4 178665.2, 520166 178681.8, 520078.9 178750.7, 520041.7 178802, 520017.9 178881.9, 519891.5 179005.4, 519971.7 179071.2, 520092.6 179183, 520157.1 179249.8, 520201.7 179210.7)))"
"E01001381",5,"MULTIPOLYGON (((521454.4 180090.3, 521474.7 179976.1, 521481.9 179943.8, 521490.6 179899.8, 521485.3 179860.3, 521411.9 179849.7, 521368.6 179866.1, 521298.5 179849, 521298 179818.1, 521208.5 179813.6, 521283.4 179724.6, 521339.9 179624.2, 521344.1 179600.3, 521253.8 179477.7, 521210 179473, 521221.4 179519.6, 521093.8 179495.7, 521048.1 179618.5, 521113 179645, 521065 179680.2, 521081.2 179702.4, 520876 179808.2, 520810.1 179828.3, 520721.7 179839.9, 520744.3 179874.5, 520671.1 179911, 520603.4 179857.9, 520543.6 179876.7, 520560.4 179922.5, 520598.8 180049.5, 520889.6 180047.5, 521098.6 180066.9, 521323.2 180085.2, 521421.1 180089, 521454.4 180090.3)))"
"E01001382",9,"MULTIPOLYGON (((516892 180085.7, 516942 180072, 516979.2 180073, 517037.7 180030.4, 517071 179951.3, 517122 179946.3, 517208.6 179881.7, 517251.5 179861.5, 517305.3 179957.9, 517366.9 179989.2, 517395.4 180003.7, 517401 179924.3, 517339.7 179758.5, 517439.1 179735, 517492.9 179721.8, 517479.1 179684.6, 517318.2 179590.8, 517280.6 179546.3, 517209.6 179557.1, 517160.2 179517.7, 517052.4 179559.2, 517029.3 179597.4, 517051.6 179636.3, 517028.9 179656, 517006.9 179622.9, 516984.2 179651.1, 516940.7 179703.6, 516891.6 179747.3, 516854.7 179719.8, 516816 179744.8, 516915.2 179842.3, 516906.5 179897.1, 516866.1 179902.3, 516852.1 179989.1, 516856 180243, 516896.6 180271.9, 516892 180085.7)))"
"E01001383",7,"MULTIPOLYGON (((516538.6 180088.1, 516568.4 179997.7, 516501.5 180010.5, 516549.3 179872.2, 516581.6 179881.8, 516590 179858, 516527.5 179819.2, 516476.2 179790.2, 516337.3 179705.5, 516297.5 179680.7, 516271.3 179664.2, 516235.8 179781.8, 516177.7 179963.4, 516240.4 179998.7, 516239 180002, 516277.8 180014.6, 516263.2 180103.9, 516290.4 180092.4, 516297 180059.3, 516366.3 180078.9, 516352 180117, 516477.1 180158.4, 516490.3 180129.5, 516538.6 180088.1)))"
"E01001384",8,"MULTIPOLYGON (((516599.8 180096.8, 516641.3 179958.1, 516674.2 179940.5, 516687 179913, 516722 179930, 516721.2 179886.9, 516753.1 179900, 516852.1 179989.1, 516866.1 179902.3, 516906.5 179897.1, 516915.2 179842.3, 516816 179744.8, 516854.7 179719.8, 516891.6 179747.3, 516940.7 179703.6, 516984.2 179651.1, 516930 179560, 516886 179611, 516890.7 179651.3, 516867.8 179634.1, 516788.5 179728.7, 516763.7 179713.3, 516626.1 179620.1, 516616.4 179638.4, 516577.1 179712, 516567 179730.9, 516527.5 179819.2, 516590 179858, 516581.6 179881.8, 516549.3 179872.2, 516501.5 180010.5, 516568.4 179997.7, 516538.6 180088.1, 516599.8 180096.8)))"
"E01001385",9,"MULTIPOLYGON (((516788.5 179728.7, 516867.8 179634.1, 516890.7 179651.3, 516886 179611, 516930 179560, 516984.2 179651.1, 517006.9 179622.9, 517028.9 179656, 517051.6 179636.3, 517029.3 179597.4, 517052.4 179559.2, 517160.2 179517.7, 517209.6 179557.1, 517280.6 179546.3, 517318.2 179590.8, 517362 179537.9, 517265.6 179485.9, 517285.6 179447.9, 517262.4 179439.6, 517032.1 179362.6, 517034.6 179301.1, 517002.9 179281.6, 516917.9 179233.2, 516936.6 179203.6, 516906.8 179193.3, 516817.7 179326.8, 516789.9 179369.6, 516728.8 179463.9, 516662.3 179565.7, 516626.1 179620.1, 516763.7 179713.3, 516788.5 179728.7)))"
"E01001386",8,"MULTIPOLYGON (((517327.7 180456.5, 517373.2 180301.1, 517506.9 180386.1, 517683.4 180433.8, 517683.6 180412.9, 517698.6 180309.3, 517714.1 180200, 517726.2 180026.8, 517724.8 179960, 517723.9 179903.1, 517674.8 179774.8, 517614.4 179728.7, 517602.9 179581.9, 517578.3 179582.2, 517577.7 179553.5, 517503.9 179526.7, 517491.9 179553.2, 517318.3 179465.3, 517285.6 179447.9, 517265.6 179485.9, 517362 179537.9, 517318.2 179590.8, 517479.1 179684.6, 517492.9 179721.8, 517439.1 179735, 517339.7 179758.5, 517401 179924.3, 517395.4 180003.7, 517366.9 179989.2, 517367 180034, 517229 180159, 517245 180229, 517213.9 180291.2, 517147.5 180268.8, 517252.8 180321.3, 517187.3 180348.6, 517243.5 180386.3, 517231.8 180436.8, 517327.7 180456.5)))"
"E01001387",6,"MULTIPOLYGON (((517505.8 180667, 517538.4 180522.6, 517602.4 180525.5, 517693.2 180475.4, 517683.4 180433.8, 517506.9 180386.1, 517373.2 180301.1, 517327.7 180456.5, 517231.8 180436.8, 517243.5 180386.3, 517187.3 180348.6, 517252.8 180321.3, 517147.5 180268.8, 517213.9 180291.2, 517245 180229, 517229 180159, 517367 180034, 517366.9 179989.2, 517305.3 179957.9, 517251.5 179861.5, 517208.6 179881.7, 517122 179946.3, 517071 179951.3, 517037.7 180030.4, 516979.2 180073, 516979.9 180120.9, 516931.7 180258.8, 516957.8 180283.7, 516924 180336, 516950.2 180387.7, 517100.1 180429.5, 517164.6 180571.6, 517307.4 180615, 517505.8 180667)))"
"E01001388",2,"MULTIPOLYGON (((516957.8 180283.7, 516931.7 180258.8, 516979.9 180120.9, 516979.2 180073, 516942 180072, 516892 180085.7, 516896.6 180271.9, 516856 180243, 516852.1 179989.1, 516753.1 179900, 516721.2 179886.9, 516722 179930, 516694.1 180040.8, 516617.8 180170.4, 516587.9 180221.9, 516524.3 180306.9, 516577.4 180345, 516548.7 180399.5, 516717.2 180446.9, 516876 180490.3, 517035.3 180531.4, 517128.9 180560.4, 517164.6 180571.6, 517100.1 180429.5, 516950.2 180387.7, 516924 180336, 516957.8 180283.7)))"
"E01001389",5,"MULTIPOLYGON (((516617.8 180170.4, 516694.1 180040.8, 516722 179930, 516687 179913, 516674.2 179940.5, 516641.3 179958.1, 516599.8 180096.8, 516538.6 180088.1, 516490.3 180129.5, 516477.1 180158.4, 516352 180117, 516366.3 180078.9, 516297 180059.3, 516290.4 180092.4, 516263.2 180103.9, 516277.8 180014.6, 516239 180002, 516240.4 179998.7, 516177.7 179963.4, 516174.7 179972.9, 516048.3 180284.1, 516221.3 180305.9, 516377.6 180350.1, 516432 180365.8, 516452.4 180371.7, 516548.7 180399.5, 516577.4 180345, 516524.3 180306.9, 516587.9 180221.9, 516617.8 180170.4)))"
"E01001390",8,"MULTIPOLYGON (((530084.8 192155, 530059.2 192043.8, 530097.8 192025, 530108.6 192095.2, 530155.4 192084.7, 530114.1 191903.4, 530161.5 191892.8, 530133.5 191751.4, 530234.3 191882.6, 530253 191880.1, 530293.8 191871.8, 530301 191825.1, 530267.9 191684.9, 530184 191692, 530176.5 191647.1, 530119.6 191653.3, 530057.6 191662.2, 529936.9 191788.8, 529905.9 191796, 529835.4 191714.9, 529827.2 191719.4, 529847.4 191805.4, 529906.1 191882.5, 529933.7 191949.4, 529935.8 191989.4, 529906 191997, 529925.6 192080.3, 529886.4 192087.9, 529855.9 191996.8, 529793 191966, 529770.8 191914.2, 529742 191922, 529864 192208, 529842.4 192228.8, 529859.2 192260.5, 529947.8 192208.7, 529992.9 192191, 530084.8 192155)))"
"E01001391",4,"MULTIPOLYGON (((530954.4 191964.4, 530986.7 191921, 530964.6 191923.1, 530946.5 191852.5, 530933 191813.9, 530851.7 191812.5, 530848.5 191812.7, 530718.9 191809.8, 530712.9 191727.6, 530715.3 191637, 530697.6 191627, 530664.3 191640.2, 530596.1 191639.5, 530586.3 191638.6, 530585.7 191719.8, 530536.8 191770.9, 530595.6 191767.9, 530595.2 191799.8, 530502.4 191802.7, 530588.2 191962.2, 530628.9 191951.4, 530625.1 192030.8, 530539.1 192053.6, 530553.4 192081.7, 530567.2 192084.8, 530690.9 192101, 530726.6 192104, 530954.2 192080.4, 530954.4 191964.4)))"
"E01001392",8,"MULTIPOLYGON (((529864 192208, 529742 191922, 529770.8 191914.2, 529793 191966, 529855.9 191996.8, 529886.4 192087.9, 529925.6 192080.3, 529906 191997, 529935.8 191989.4, 529933.7 191949.4, 529906.1 191882.5, 529847.4 191805.4, 529827.2 191719.4, 529630.7 191748.6, 529437.8 191828.8, 529341.5 191865.6, 529215.1 191911.4, 529306.4 192018.6, 529359.1 192080.7, 529379.6 192104.7, 529636.7 191996.5, 529703.1 191967.8, 529842.4 192228.8, 529864 192208)))"
"E01001393",5,"MULTIPOLYGON (((530164.5 192122.3, 530385.9 192073, 530553.4 192081.7, 530539.1 192053.6, 530625.1 192030.8, 530628.9 191951.4, 530588.2 191962.2, 530502.4 191802.7, 530595.2 191799.8, 530595.6 191767.9, 530536.8 191770.9, 530585.7 191719.8, 530586.3 191638.6, 530582 191638, 530468.8 191634.3, 530453.7 191607.7, 530417 191627.4, 530364 191643.4, 530332.4 191622.8, 530176.5 191647.1, 530184 191692, 530267.9 191684.9, 530301 191825.1, 530293.8 191871.8, 530253 191880.1, 530234.3 191882.6, 530133.5 191751.4, 530161.5 191892.8, 530114.1 191903.4, 530155.4 192084.7, 530108.6 192095.2, 530097.8 192025, 530059.2 192043.8, 530084.8 192155, 530164.5 192122.3)))"
"E01001394",3,"MULTIPOLYGON (((531299.4 192128.9, 531308.4 192070.6, 531346.5 192068.1, 531346 192034.2, 531270 192032, 531271.4 191999.6, 531498.1 192002, 531496 191968, 531614.7 191969.8, 531601 191847.9, 531710.7 191829.3, 531705.9 191777.2, 531544.9 191765.3, 531500.5 191710.1, 531446.1 191701.4, 531453.3 191797.5, 531284.9 191787.5, 531276 191886, 530985.4 191873.1, 530993 191920, 530986.7 191921, 530954.4 191964.4, 530954.2 192080.4, 531035.6 192078.1, 531087 192089, 531485.2 192306.1, 531500.1 192278.4, 531501.9 192262.5, 531299.4 192128.9)))"
"E01001395",2,"MULTIPOLYGON (((531847.4 192053.2, 532000.1 192044.9, 532171.8 192059.6, 532196.6 191922, 532395.7 191773, 532376.1 191723.9, 532177 191750.4, 532172.4 191726.6, 531999.1 191697.1, 531979.4 191734.9, 531952.4 191766.2, 531851.3 191727.7, 531825.5 191727.2, 531842.4 191677.1, 531725.8 191665.3, 531518.7 191657.7, 531500.5 191710.1, 531544.9 191765.3, 531705.9 191777.2, 531710.7 191829.3, 531601 191847.9, 531614.7 191969.8, 531496 191968, 531498.1 192002, 531588.7 192006.7, 531684.1 192075.3, 531826.6 192102.6, 531894 192164.7, 531909.9 192154.8, 531847.4 192053.2)))"
"E01001396",5,"MULTIPOLYGON (((530993 191920, 530985.4 191873.1, 531276 191886, 531284.9 191787.5, 531453.3 191797.5, 531446.1 191701.4, 531500.5 191710.1, 531518.7 191657.7, 531495.1 191614.4, 531443.4 191644.1, 531300.8 191658.9, 531232.3 191648.3, 530986.3 191629.9, 530945.4 191632.1, 530917.3 191666.5, 530715.3 191637, 530712.9 191727.6, 530718.9 191809.8, 530848.5 191812.7, 530851.7 191812.5, 530933 191813.9, 530946.5 191852.5, 530964.6 191923.1, 530986.7 191921, 530993 191920)))"
"E01001397",4,"MULTIPOLYGON (((532087.1 192295.4, 531909.9 192154.8, 531894 192164.7, 531826.6 192102.6, 531684.1 192075.3, 531588.7 192006.7, 531498.1 192002, 531271.4 191999.6, 531270 192032, 531346 192034.2, 531346.5 192068.1, 531308.4 192070.6, 531299.4 192128.9, 531501.9 192262.5, 531500.1 192278.4, 531485.2 192306.1, 531572.5 192355.9, 531717.7 192437.6, 531821 192490.1, 531927 192520.5, 531940.6 192522.7, 532169 192548.9, 532258.3 192557.3, 532572.3 192568.5, 532565.1 192500.9, 532553.1 192498.7, 532391.5 192470.8, 532304.3 192459.6, 532255.5 192368, 532087.1 192295.4)))"
"E01001398",8,"MULTIPOLYGON (((533301.8 195327.3, 533273 195280.9, 533317.7 195258.5, 533364.1 195279.6, 533463.2 195335.2, 533493 195283.1, 533669.3 195318.9, 533643.1 195227.9, 533569 195183, 533658.3 195158.3, 533678.1 195219.7, 533749.6 195193.6, 533775.8 195254.6, 533833.7 195148.5, 533732.2 195049.7, 533694.9 195061.4, 533646.7 194945.5, 533622.9 194889.8, 533559.4 194910, 533527 194922, 533517.6 194996.1, 533258.9 195031.1, 533272.7 195071.2, 533235.2 195085.7, 533183.5 195083.9, 533123.7 195093.2, 533079.9 195123.9, 533183.2 195186.6, 533194.3 195236.7, 533159.1 195252.1, 533130.3 195271.7, 533159.3 195306.2, 533199.7 195298.2, 533241.3 195345.6, 533204.5 195387.6, 533229.5 195415.1, 533301.8 195327.3)))"
"E01001399",8,"MULTIPOLYGON (((533932.6 194971.3, 533763.4 194721.7, 533663.9 194578.3, 533530.3 194428.5, 533420.4 194450.8, 533421.2 194514.1, 533300 194559, 533104.8 194647.4, 532868.8 194754.7, 532898 194779, 533077.4 194708.9, 533108 194740.4, 533181.6 194722.8, 533196.2 194758.9, 533266.2 194742.5, 533303.3 194789.9, 533359.5 194719.9, 533457 194948, 533489.9 194935.8, 533483 194861.2, 533540.5 194873.3, 533559.4 194910, 533622.9 194889.8, 533646.7 194945.5, 533708.3 194920.7, 533781.8 195072.8, 533870 195084.2, 533903.6 195024.4, 533932.6 194971.3)))"
"E01001400",8,"MULTIPOLYGON (((533123.7 195093.2, 533183.5 195083.9, 533235.2 195085.7, 533272.7 195071.2, 533258.9 195031.1, 533517.6 194996.1, 533527 194922, 533559.4 194910, 533540.5 194873.3, 533483 194861.2, 533489.9 194935.8, 533457 194948, 533359.5 194719.9, 533303.3 194789.9, 533266.2 194742.5, 533196.2 194758.9, 533181.6 194722.8, 533108 194740.4, 533077.4 194708.9, 532898 194779, 532868.8 194754.7, 532829 194670, 532869.3 194645.3, 532883.7 194569.5, 532971.1 194494.6, 532942 194454, 532808.8 194597.2, 532720 194587, 532721.4 194630, 532767.2 194633.2, 532769 194715.3, 532632.8 194696.9, 532634.9 194741.2, 532793.3 194790.5, 532898.4 194904.2, 532936.9 194982.2, 532956.2 195043.6, 532978.6 195192.1, 533042.9 195352.8, 533130.3 195271.7, 533159.1 195252.1, 533194.3 195236.7, 533183.2 195186.6, 533079.9 195123.9, 533123.7 195093.2)))"
"E01001401",7,"MULTIPOLYGON (((534252.2 195465.8, 534077.2 195184.6, 534040.2 195129.8, 533935.4 194975.5, 533932.6 194971.3, 533903.6 195024.4, 533870 195084.2, 533781.8 195072.8, 533708.3 194920.7, 533646.7 194945.5, 533694.9 195061.4, 533732.2 195049.7, 533833.7 195148.5, 533775.8 195254.6, 533745.1 195309.9, 533770.5 195303.9, 533793.1 195363, 533831.3 195339.3, 533854.7 195398.3, 533816.6 195426.1, 533853.1 195490.8, 533906.8 195473.7, 534182 195433.2, 534248.6 195521, 534269.1 195516.5, 534252.2 195465.8)))"
"E01001402",8,"MULTIPOLYGON (((532634.9 194741.2, 532632.8 194696.9, 532769 194715.3, 532767.2 194633.2, 532721.4 194630, 532720 194587, 532808.8 194597.2, 532942 194454, 532966 194351, 532964 194323.3, 532919.8 194360.2, 532912.3 194428.4, 532868.1 194461.1, 532831.6 194400.7, 532726.5 194436.4, 532709 194399, 532637.8 194409, 532619.3 194367.6, 532485.9 194361.9, 532451.6 194294.8, 532430 194292.9, 532168.1 194244.5, 532018.5 194245.9, 531972.2 194255.4, 531958.6 194306.2, 532015.2 194648.5, 532137.5 194676.8, 532223.8 194806.8, 532451 194747.9, 532634.9 194741.2)))"
"E01001403",6,"MULTIPOLYGON (((533530.3 194428.5, 533407 194315.5, 533372.6 194294.3, 533328.3 194269.5, 533214.7 194202.7, 533110.7 194085.8, 533092 194102, 532999 194045, 533004 194018, 532950 193991, 532842 194073, 532762 193895, 532632 193990, 532686.4 194074.4, 532674.8 194177.9, 532639.4 194188.3, 532650 194224, 532601.2 194244.8, 532648.9 194273.4, 532675.6 194303.3, 532645 194332, 532519 194269, 532451.6 194294.8, 532485.9 194361.9, 532619.3 194367.6, 532637.8 194409, 532709 194399, 532726.5 194436.4, 532831.6 194400.7, 532868.1 194461.1, 532912.3 194428.4, 532919.8 194360.2, 532964 194323.3, 532966 194351, 532942 194454, 532971.1 194494.6, 532883.7 194569.5, 532869.3 194645.3, 532829 194670, 532868.8 194754.7, 533104.8 194647.4, 533300 194559, 533421.2 194514.1, 533420.4 194450.8, 533530.3 194428.5)))"
"E01001404",5,"MULTIPOLYGON (((532648.9 194273.4, 532601.2 194244.8, 532650 194224, 532639.4 194188.3, 532674.8 194177.9, 532686.4 194074.4, 532632 193990, 532762 193895, 532842 194073, 532950 193991, 533004 194018, 532999 194045, 533092 194102, 533110.7 194085.8, 533076.6 194010.6, 532967.3 193713.7, 532913.9 193499.3, 532823.2 193180.7, 532799.1 193189.9, 532668.8 193242.6, 532560.6 193285.7, 532321 193352.9, 532338.8 193408.3, 532377.4 193530.3, 532402 193635.9, 532323.4 194017, 532303.5 194074.8, 532304.1 194080.8, 532427.8 194220.2, 532430 194292.9, 532451.6 194294.8, 532519 194269, 532645 194332, 532675.6 194303.3, 532648.9 194273.4)))"
"E01001405",7,"MULTIPOLYGON (((533141.1 196189.4, 533212.2 196110.8, 533282.9 196142.9, 533308.8 196097.1, 533333 196053.7, 533374 195979.1, 533399.1 195933.5, 533449.3 195843, 533508.7 195735.4, 533525.6 195705.4, 533618.5 195538.1, 533562.9 195516, 533603 195437, 533443.8 195442, 533463.2 195335.2, 533364.1 195279.6, 533317.7 195258.5, 533273 195280.9, 533301.8 195327.3, 533229.5 195415.1, 533204.5 195387.6, 533241.3 195345.6, 533199.7 195298.2, 533159.3 195306.2, 533130.3 195271.7, 533042.9 195352.8, 533194.7 195525, 533213.3 195561.2, 533224 195726, 533145.7 195860.9, 533051.4 195935.5, 532960 196020.6, 533088.3 196049.5, 533141.1 196189.4)))"
"E01001406",4,"MULTIPOLYGON (((533571.9 195821.7, 533599.2 195784.6, 533705.1 195796.4, 533822.2 195797.5, 533856.8 195799, 533849.6 195594.5, 533915.5 195564.5, 533923 195561.9, 534060.1 195516.4, 534166.4 195540, 534248.6 195521, 534182 195433.2, 533906.8 195473.7, 533853.1 195490.8, 533816.6 195426.1, 533854.7 195398.3, 533831.3 195339.3, 533793.1 195363, 533770.5 195303.9, 533745.1 195309.9, 533775.8 195254.6, 533749.6 195193.6, 533678.1 195219.7, 533658.3 195158.3, 533569 195183, 533643.1 195227.9, 533669.3 195318.9, 533493 195283.1, 533463.2 195335.2, 533443.8 195442, 533603 195437, 533562.9 195516, 533618.5 195538.1, 533525.6 195705.4, 533508.7 195735.4, 533449.3 195843, 533571.9 195821.7)))"
"E01001407",5,"MULTIPOLYGON (((534596.1 198483, 534551.6 198289.7, 534542.8 198251.7, 534494.7 198042.6, 534491.8 198029.8, 534442.7 198061.4, 534436.4 198111.7, 534382.5 198100.9, 534342.1 198109.8, 534385.3 198288.9, 534428.5 198272.6, 534476 198444, 534396 198463, 534366 198331, 534316.7 198333.8, 534263 198346, 534230 198339, 534193 198240, 534176.4 198255.1, 534094.1 198074.8, 534011 198094, 533916.4 198104.5, 533922.5 198134.6, 533927.1 198158.7, 533714.1 198342.9, 533660.8 198302.1, 533617.7 198272.9, 533525.8 198220.8, 533377.2 198194.9, 533317.8 198094.4, 533165 197897, 533086.1 197781.5, 533075.3 197767.4, 533029.7 197798.2, 533058.8 197830.7, 533110.8 197881, 532972.8 197941.1, 532984.5 197965.8, 532900.4 198044.1, 532921.8 198130.9, 532850.9 198058.3, 532823.4 198066.8, 532846 198241, 532886.1 198268.1, 532884.9 198302.6, 532840.1 198318.5, 532858.3 198402, 532890.8 198373.4, 532899.1 198333.5, 532948.5 198320.6, 533003.9 198247.2, 532986.5 198150, 533047.5 198105.9, 533047 198168, 533101 198184, 533163 198181, 533166 198137, 533247.8 198115.6, 533318 198184.2, 533314.1 198221.6, 533224.7 198239.4, 533217.3 198280.7, 533184 198250, 533188.3 198288.4, 533123.6 198328.3, 533136.6 198373.7, 533181.4 198451.2, 533204.5 198600.3, 533276.6 198678.2, 533291.6 199074.2, 533323.2 199099.5, 533298.9 199127, 533473 199198, 533833 199013, 533981 198968, 534249.7 198771.1, 534223 198735, 534146.8 198728.4, 534300.1 198514.2, 534596.1 198483)))"
"E01001408",6,"MULTIPOLYGON (((532669.6 198222.5, 532708.2 198161.6, 532709.1 198131.8, 532637.4 198124.9, 532643.9 198096.1, 532662.7 198059.5, 532714 198085.1, 532678.7 197981.8, 532704.2 197911.3, 532511.6 197899.8, 532520.7 197869.4, 532664 197875, 532660.4 197843.6, 532688 197843.3, 532680.9 197722.2, 532533.1 197751.1, 532504.3 197749.5, 532453.7 197743.9, 532441.4 197846.9, 532324.2 197842.4, 532257.1 197845.5, 532261.7 197849.8, 532320 197969.6, 532271.5 198007.2, 532282.3 198056.1, 532238.1 198078.8, 532285 198110, 532363.7 198137.1, 532388.3 198104.6, 532419.5 198146.1, 532461.5 198110.5, 532521.4 198128.8, 532517.5 198195.1, 532607.4 198211.4, 532622.3 198186.4, 532642.4 198210.1, 532669.6 198222.5)))"
"E01001409",2,"MULTIPOLYGON (((534436.4 198111.7, 534442.7 198061.4, 534491.8 198029.8, 534457.4 197876.7, 534389.7 197559.3, 534374.5 197478, 534321.9 197478.8, 534275.1 197480.4, 534186.6 197503.1, 534097.3 197581.8, 534044.2 197628.2, 534035.1 197636.2, 533943.6 197731.6, 533884.9 197789.3, 533900.1 197858.3, 533900.9 197931.8, 533967.8 198019.2, 534048.2 197981.1, 534053 197978, 534007.8 197878.5, 534087.3 197836.9, 534112.3 197747.8, 534149.8 197735.2, 534179.2 197773.3, 534177.7 197728.3, 534262.7 197707.5, 534273.3 197784.1, 534246 197821.4, 534277.4 197851.6, 534288.2 197971.2, 534291 198008, 534286.4 198090.9, 534342.1 198109.8, 534382.5 198100.9, 534436.4 198111.7)))"
"E01001410",1,"MULTIPOLYGON (((534476 198444, 534428.5 198272.6, 534385.3 198288.9, 534342.1 198109.8, 534286.4 198090.9, 534291 198008, 534288.2 197971.2, 534277.4 197851.6, 534246 197821.4, 534273.3 197784.1, 534262.7 197707.5, 534177.7 197728.3, 534179.2 197773.3, 534149.8 197735.2, 534112.3 197747.8, 534087.3 197836.9, 534007.8 197878.5, 534053 197978, 534048.2 197981.1, 533967.8 198019.2, 533900.9 197931.8, 533868.2 197941.5, 533916.4 198104.5, 534011 198094, 534094.1 198074.8, 534176.4 198255.1, 534193 198240, 534230 198339, 534263 198346, 534316.7 198333.8, 534366 198331, 534396 198463, 534476 198444)))"
"E01001411",7,"MULTIPOLYGON (((532846 198241, 532823.4 198066.8, 532850.9 198058.3, 532921.8 198130.9, 532900.4 198044.1, 532984.5 197965.8, 532972.8 197941.1, 533110.8 197881, 533058.8 197830.7, 533029.7 197798.2, 533075.3 197767.4, 533052.4 197738.2, 533012.5 197672.6, 532965.6 197562.2, 532939.1 197568.9, 532914.6 197575.1, 532789.4 197615.9, 532762 197620.9, 532675.7 197666.3, 532705.2 197718.3, 532680.9 197722.2, 532688 197843.3, 532660.4 197843.6, 532664 197875, 532520.7 197869.4, 532511.6 197899.8, 532704.2 197911.3, 532678.7 197981.8, 532714 198085.1, 532662.7 198059.5, 532643.9 198096.1, 532637.4 198124.9, 532709.1 198131.8, 532708.2 198161.6, 532725.6 198211.5, 532760 198207, 532800.4 198210.5, 532840.1 198318.5, 532884.9 198302.6, 532886.1 198268.1, 532846 198241)))"
"E01001412",3,"MULTIPOLYGON (((531822.8 200754.7, 532109.4 200741.9, 532477.2 200772.4, 532883.3 200652.7, 532964.3 200600.8, 533832.9 200089.5, 534137.6 200017.2, 534527.1 200056.5, 534809.1 200114, 534826.6 200124.3, 534957.7 200191.1, 534975.8 200166.8, 534902.9 200012.8, 534848.6 199748.2, 534780.5 199379.9, 534772.3 199334.9, 534732.8 199118.6, 534691.8 198911.9, 534640.1 198683.1, 534629.5 198634, 534596.1 198483, 534300.1 198514.2, 534146.8 198728.4, 534223 198735, 534249.7 198771.1, 533981 198968, 533833 199013, 533473 199198, 533298.9 199127, 533323.2 199099.5, 533291.6 199074.2, 533276.6 198678.2, 533204.5 198600.3, 533181.4 198451.2, 533136.6 198373.7, 532931.6 198476.8, 532894 198504, 532972.1 198619.1, 532890 198726, 532799.6 198782.2, 532592 198735, 532558 198702, 532487 198744, 532375.3 198738, 532273.7 198510.5, 532157.8 198465.3, 532041.7 198469.8, 531926.1 198575.3, 531562 198676.7, 531410.5 198621.7, 531439.2 198536.5, 531225 198638.4, 530972.1 198802.8, 530832.9 198280.8, 530806.4 198186.5, 530766.6 198218, 530736.1 198243, 530669.4 198158.1, 530588.7 197973.4, 529612.4 198103.6, 529276.8 198105.7, 528815.9 198277.6, 528559.5 198164.7, 528128.4 198080.7, 527895.6 198069.7, 527868.3 198075, 527892.4 198234, 527950 198652.8, 528123 198677.1, 528072.1 199709.6, 527686 199698.6, 527289.4 200018.3, 527050.6 200169.6, 527045.2 200413.4, 527427.9 200325.8, 527759 200180.2, 528028.7 200149.3, 528352.1 200248.4, 528779.3 200467.8, 529036.9 200540.9, 529340.7 200560.8, 529899.3 200534, 530170.2 200584.6, 530534.6 200803.7, 530696.4 200864.5, 530714.8 200870.3, 530783.5 200912.9, 531023.5 200933.6, 531537.9 200839.1, 531822.8 200754.7)))"
"E01001413",9,"MULTIPOLYGON (((532890 198726, 532972.1 198619.1, 532894 198504, 532931.6 198476.8, 533136.6 198373.7, 533123.6 198328.3, 533188.3 198288.4, 533184 198250, 533217.3 198280.7, 533224.7 198239.4, 533314.1 198221.6, 533318 198184.2, 533247.8 198115.6, 533166 198137, 533163 198181, 533101 198184, 533047 198168, 533047.5 198105.9, 532986.5 198150, 533003.9 198247.2, 532948.5 198320.6, 532899.1 198333.5, 532890.8 198373.4, 532858.3 198402, 532840.1 198318.5, 532800.4 198210.5, 532760 198207, 532725.6 198211.5, 532708.2 198161.6, 532669.6 198222.5, 532642.4 198210.1, 532622.3 198186.4, 532607.4 198211.4, 532517.5 198195.1, 532521.4 198128.8, 532461.5 198110.5, 532419.5 198146.1, 532388.3 198104.6, 532363.7 198137.1, 532285 198110, 532197 198202, 532186.2 198195.5, 532078 198144, 531998.5 198107.4, 531908.7 198223.4, 532041.7 198469.8, 532157.8 198465.3, 532273.7 198510.5, 532375.3 198738, 532487 198744, 532558 198702, 532592 198735, 532799.6 198782.2, 532890 198726)))"
"E01001414",2,"MULTIPOLYGON (((531908.7 198223.4, 531998.5 198107.4, 532078 198144, 532186.2 198195.5, 532197 198202, 532285 198110, 532238.1 198078.8, 532282.3 198056.1, 532271.5 198007.2, 532320 197969.6, 532261.7 197849.8, 532257.1 197845.5, 531949.9 197860.1, 531809.5 197867.1, 531752.2 197942.8, 531724.7 197980.3, 531576.5 198212.3, 531439.2 198536.5, 531410.5 198621.7, 531562 198676.7, 531926.1 198575.3, 532041.7 198469.8, 531908.7 198223.4)))"
