"LSOA11CD","index_of_multiple_deprivation_imd_decile","wkt"
"E01000012",2,"MULTIPOLYGON (((544240.1 184789.2, 544241.3 184756.3, 544180.3 184700.6, 544137.8 184674.2, 544134 184595, 544191 184548, 544175.3 184526.2, 544017.1 184632.4, 543914.6 184555.2, 543889 184593, 543867.2 184627.5, 543806.1 184564, 543741 184566, 543763.8 184578, 543685.4 184639.6, 543638.5 184613.7, 543594.7 184556.6, 543572.5 184603, 543619.8 184826.1, 543701.5 184802.3, 543742 184782.6, 543941.9 184816.5, 544081.7 184878.5, 544109.5 184898.6, 544159.9 184893.7, 544166.3 184879.6, 544177.7 184858.3, 544190.5 184845.2, 544240.1 184789.2)))"
"E01000013",2,"MULTIPOLYGON (((549285.1 184980.9, 549301.1 184875.2, 549210.5 184859.2, 549182.8 184726.3, 549049.2 184708.2, 549001.5 184701.9, 548755.7 184669.2, 548713.2 184663.6, 548542.2 184641.9, 548539.4 184711.2, 548677.4 184776, 548675.7 184831.7, 548763 184884.2, 548782.6 184951, 548712.5 184998.6, 548697 185050.6, 548751.6 185068, 548803.7 185049.7, 548878.9 185159.1, 548918.2 185123.5, 548893.4 184991.4, 548924.5 184966.7, 549004 184933.1, 548997.7 185004.1, 549042 185002.8, 549156.5 184979.8, 549196 184999.7, 549193.4 185045.9, 549211.5 185047.6, 549265.8 185069.7, 549235 185150.8, 549272.4 185240.3, 549323.7 185244.2, 549371.9 185194.7, 549325 185185.5, 549346 185057, 549311.1 185038.9, 549319.8 184990.4, 549285.1 184980.9)))"
"E01000014",2,"MULTIPOLYGON (((548804 185232, 548903.1 185211.3, 548932.2 185245.8, 548976.4 185182.3, 549029.9 185189.4, 549036.7 185188.5, 549077.4 185152.4, 549050.2 185099.9, 549088.1 185062.3, 549042 185002.8, 548997.7 185004.1, 549004 184933.1, 548924.5 184966.7, 548893.4 184991.4, 548918.2 185123.5, 548878.9 185159.1, 548803.7 185049.7, 548751.6 185068, 548697 185050.6, 548712.5 184998.6, 548782.6 184951, 548763 184884.2, 548675.7 184831.7, 548677.4 184776, 548539.4 184711.2, 548542.2 184641.9, 548518.6 184639, 548317.2 184611.1, 548285 184606.9, 548103.4 184582.8, 548100.3 184582.4, 548079.1 184682.1, 548097.4 184712, 547931.6 184917.7, 548267 184978.6, 548389.2 185142.6, 548599.1 185022.5, 548633 185084, 548648.2 185111.5, 548620.4 185129, 548689.4 185256.9, 548804 185232)))"
"E01000015",2,"MULTIPOLYGON (((549673.7 185473.5, 549679.9 185411.5, 549765.6 185416.7, 549786.6 185265.6, 549855.5 185145.5, 549904.4 185054.8, 549984.5 184990, 549987.2 184926.6, 549927.8 184906.2, 549740 184846.8, 549690.6 184831.9, 549556.7 184796.5, 549507.5 184783.5, 549310.7 184745.3, 549241.2 184734.7, 549182.8 184726.3, 549210.5 184859.2, 549301.1 184875.2, 549285.1 184980.9, 549319.8 184990.4, 549311.1 185038.9, 549346 185057, 549325 185185.5, 549371.9 185194.7, 549436.9 185207.7, 549465.1 185169.5, 549507.9 185183.8, 549643.6 185089.6, 549687.9 185145.3, 549709 185199, 549652.3 185239.8, 549643.2 185328, 549600.8 185288, 549492.2 185375.8, 549485.3 185383.5, 549572.5 185467.4, 549637 185476.8, 549673.7 185473.5)))"
"E01000016",3,"MULTIPOLYGON (((549604 185773.2, 549618.8 185517.1, 549637 185476.8, 549572.5 185467.4, 549485.3 185383.5, 549437.8 185420.9, 549421.3 185507, 549351.4 185491.4, 549333.9 185536.3, 549284.3 185538.1, 549229.5 185464.5, 549156 185395.2, 549121.1 185356.5, 549064.1 185353.3, 549073.7 185232.9, 549036.7 185188.5, 549029.9 185189.4, 549014 185398, 548966.1 185441.6, 548966.8 185526.4, 548963.6 185560.8, 548997 185597.7, 549093.9 185646.9, 549115.3 185608.9, 549186.3 185605.1, 549186.4 185748.4, 549140.9 185788.5, 549285.5 185796.6, 549341.7 185800.9, 549604 185773.2)))"
"E01000017",2,"MULTIPOLYGON (((549186.4 185748.4, 549186.3 185605.1, 549115.3 185608.9, 549093.9 185646.9, 548997 185597.7, 548963.6 185560.8, 548966.8 185526.4, 548966.1 185441.6, 549014 185398, 549029.9 185189.4, 548976.4 185182.3, 548932.2 185245.8, 548864.5 185333.9, 548880.7 185369.4, 548707.1 185455.7, 548693.7 185481.3, 548675.9 185572, 548662.9 185739.2, 548824.1 185757.8, 548984.1 185769.6, 549140.9 185788.5, 549186.4 185748.4)))"
"E01000018",2,"MULTIPOLYGON (((549333.9 185536.3, 549351.4 185491.4, 549421.3 185507, 549437.8 185420.9, 549485.3 185383.5, 549492.2 185375.8, 549600.8 185288, 549643.2 185328, 549652.3 185239.8, 549709 185199, 549687.9 185145.3, 549643.6 185089.6, 549507.9 185183.8, 549465.1 185169.5, 549436.9 185207.7, 549371.9 185194.7, 549323.7 185244.2, 549272.4 185240.3, 549235 185150.8, 549265.8 185069.7, 549211.5 185047.6, 549193.4 185045.9, 549196 184999.7, 549156.5 184979.8, 549042 185002.8, 549088.1 185062.3, 549050.2 185099.9, 549077.4 185152.4, 549036.7 185188.5, 549073.7 185232.9, 549064.1 185353.3, 549121.1 185356.5, 549156 185395.2, 549229.5 185464.5, 549284.3 185538.1, 549333.9 185536.3)))"
"E01000019",2,"MULTIPOLYGON (((547052 186790.2, 547142.1 186741.2, 547175.3 186773.1, 547209 186739.8, 547242.1 186764.6, 547268.3 186727.2, 547353.1 186757.5, 547409.7 186725.8, 547388.9 186679.1, 547255 186697, 547241.6 186623.9, 547359.8 186622.3, 547372.2 186558.5, 547251.4 186532.8, 547231.7 186470.9, 547256.6 186432.1, 547200.9 186335, 547253.7 186282.7, 547214.4 186232.2, 547140.2 186168.9, 547136.9 186216, 547097 186238.5, 547017 186299.3, 546897.9 186166.2, 546875.6 186236.7, 546805.4 186233.3, 546855 186318, 546801.8 186356.7, 546867.6 186346.9, 546864.7 186402, 546990 186401.2, 547093.6 186537, 547044.2 186548.1, 546883 186600.1, 546954.9 186783.5, 547018.4 186757.2, 547052 186790.2)))"
"E01000020",2,"MULTIPOLYGON (((547409.7 186725.8, 547502.8 186537.5, 547511.5 186523.2, 547544.6 186475.7, 547597.9 186352.1, 547564.4 186224.1, 547556.9 186206.7, 547433.4 185956.9, 547381 185754.9, 547365 185784, 547354.1 185761.9, 547294.4 185772.5, 547309.8 185802.7, 547265.4 185839, 547296.5 185874.5, 547243 185837, 547230.1 185903.4, 547283.9 185962, 547348.2 185925.9, 547356.3 186000.6, 547433.8 186043.5, 547429.7 186112, 547396.3 186137.6, 547315.1 186175.2, 547296.1 186216.8, 547256.6 186193.7, 547214.4 186232.2, 547253.7 186282.7, 547200.9 186335, 547256.6 186432.1, 547231.7 186470.9, 547251.4 186532.8, 547372.2 186558.5, 547359.8 186622.3, 547241.6 186623.9, 547255 186697, 547388.9 186679.1, 547409.7 186725.8)))"
"E01000021",2,"MULTIPOLYGON (((546855 186318, 546805.4 186233.3, 546875.6 186236.7, 546897.9 186166.2, 547017 186299.3, 547097 186238.5, 547062.4 186160.2, 546973.5 186078.8, 546957.7 186055.8, 546828.4 185889.5, 546863.1 185859.1, 546873.2 185795.4, 546816 185747, 546894.8 185738.3, 546838.4 185682.4, 546700.4 185708.7, 546655.2 185735.1, 546691 185881.6, 546727.1 185928.4, 546713 185975.1, 546662.3 185968.8, 546659.8 186017.4, 546616 186050.6, 546705.7 186165.5, 546562 186296.6, 546591.2 186338.6, 546602.4 186386.7, 546801.8 186356.7, 546855 186318)))"
